id;name;producer;nation;local1;varieties1;type;abv;degree;price;year;ml
142449;Casa Silva, Gran Reserva Cabernet Sauvignon;Casa Silva;Chile;Central Valley;Cabernet Sauvignon;Red;14;16~18;0;2003;750
142452;Casa Silva Quinta Generacion Red;Casa Silva;Chile;Central Valley;Cabernet Sauvignon;Red;14;16~18;0;2003;750
142453;Casa Silva Quinta Generacion White;Casa Silva;Chile;Rapel Valley;Viognier;White;13.5;10~12;0;2003;750
142454;Douglas Green, Chardonnay;Douglas Green Wines;the Republic of South Africa;;Chardonnay;White;13;10~12;0;2005;750
142455;Douglas Green, Cinsaut Pinotage;Douglas Green Wines;the Republic of South Africa;;Cinsault;Red;14;16~18;0;2004;750
142456;Douglas Green, Colombard Chardonnay;Douglas Green Wines;the Republic of South Africa;Western Cape;Chardonnay;White;14;10~12;0;2005;750
142457;Douglas Green, Pinotage;Douglas Green Wines;the Republic of South Africa;Western Cape;Pinotage;Red;14;16~18;0;2003;750
142458;Castello Banfi, Brunello di Montalcino;Castello Banfi;Italy;Toscana;Sangiovese;Red;14~15;16~18;0;2014;750
142459;Castello Banfi, Brunello di Montalcino Riserva Poggio all Oro;Castello Banfi;Italy;Toscana;Sangiovese;Red;13~14;16~18;0;2012;750
142460;Castello Banfi, Brunello di Montalcino Poggio alle Mura;Castello Banfi;Italy;Toscana;Sangiovese;Red;13~14;16~18;530;2015;750
142461;Castello Banfi, Centine;Castello Banfi;Italy;Toscana;Cabernet Sauvignon;Red;13~14;16~18;0;2016;750
142462;Castello Banfi, Chianti Classico;Castello Banfi;Italy;Toscana;Sangiovese;Red;12.5~13.5;16~18;0;2016;750
142463;Castello Banfi, Chianti Classico Riserva;Castello Banfi;Italy;Toscana;Sangiovese;Red;12.5~13.5;16~18;0;2014;750
142464;Castello Banfi, Col di Sasso;Castello Banfi;Italy;Toscana;Cabernet Sauvignon;Red;12~13;16~18;0;2016;750
142465;Castello Banfi, Sant'Antimo Cum Laude;Castello Banfi;Italy;Toscana;Cabernet Sauvignon;Red;14~15;16~18;0;2012;750
142466;Castello Banfi, Sant'Antimo Excelsus;Castello Banfi;Italy;Toscana;Cabernet Sauvignon;Red;13~14;16~18;471,7;2015;750
142467;Castello Banfi, Principessa Gavi Perlante;Castello Banfi;Italy;Piemonte;Cortese;White;11.5~12.5;10~12;0;2017;750
142468;Castello Banfi, Le Rime;Castello Banfi;Italy;Toscana;Chardonnay;White;12~13;10~12;0;2016;750
142470;Castello Banfi, Rosa Regale Brachetto d'Acqui;Castello Banfi;Italy;Piemonte;Brachetto;Sparkling;7~8;6~8;0;2018;750
142471;Castello Banfi, Sant'Antimo Summus;Castello Banfi;Italy;Toscana;Cabernet Sauvignon;Red;13~14;16~18;0;2015;750
142488;Cordier, Bordeaux Rouge;Cordier;France;Bordeaux;Bordeaux Blend Red;Red;;;0;2005;750
142490;Cordier Sauterns;Cordier;France;Bordeaux;Semillon;White;12.5;8~10;0;2008;750
142499;Amiral de Beychevelle;Chateau Beychevelle Grand Cru Classe4th Cru;France;Bordeaux;Cabernet Sauvignon;Red;;;477;2017;750
142510;Lacoste Borie;Chateau Grand Puy Lacoste Grand Cru Classe5th Cru;France;Bordeaux;Cabernet Sauvignon;Red;12.5;16~18;0;2002;750
142525;Dulong Medoc Reserve;Dulong;France;Bordeaux;Cabernet Sauvignon;Red;;;0;2014;750
142530;Fontanafredda, Barbaresco Coste Rubin;Fontanafredda;Italy;Piemonte;Nebbiolo;Red;13~14;16~18;0;2014;750
142531;Fontanafredda, Barbera d'Alba Raimonda;Fontanafredda;Italy;Piemonte;Barbera;Red;11.5~12.5;16~18;0;2015;750
142532;Fontanafredda, Dolcetto d'Alba Treiso;Fontanafredda;Italy;Piemonte;Dolcetto;Red;11.5~12.5;16~18;0;2013;750
142533;Fontanafredda, Millesimato Asti;Fontanafredda;Italy;Piemonte;Moscato;Sparkling;12;6~8;0;2014;750
142535;Fontanafredda, Nebbiolo Langhe;Fontanafredda;Italy;Piemonte;Nebbiolo;Red;11.5~12.5;16~18;0;2016;750
142536;Fontanafredda, Barolo Serralunga d'Alba;Fontanafredda;Italy;Piemonte;Nebbiolo;Red;13~14;17~20;0;2012;750
142568;Hardys, Tintara Orange Label Cabernet Sauvignon;Hardys;Australia;South Australia;Cabernet Sauvignon;Red;;;0;2015;750
142589;Joseph Drouhin, Aloxe Corton;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12~13;15~17;0;2015;750
142590;Joseph Drouhin, Beaujolais Villages;Joseph Drouhin;France;Bourgogne;Gamay;Red;12.5~13.5;13~15;0;0;750
142591;Joseph Drouhin, Beaune Clos des Mouches Rouge ;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12.5~13.5;15~17;0;2016;750
142592;Joseph Drouhin, Chablis;Joseph Drouhin;France;Bourgogne;Chardonnay;White;12~13;10~12;0;2017;750
142594;Joseph Drouhin, Chablis Grand Cru Les Clos;Joseph Drouhin;France;Bourgogne;Chardonnay;White;;;0;2017;750
142595;Joseph Drouhin, Chablis Premier Cru 'Vaillons';Joseph Drouhin;France;Bourgogne;Chardonnay;White;12~13;10~12;0;2017;750
142596;Joseph Drouhin, Chambolle Musigny;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12.5~13.5;15~17;0;2014;750
142598;Joseph Drouhin, Chassagne Montrachet;Joseph Drouhin;France;Bourgogne;Chardonnay;White;12~13;10~12;0;2017;750
142599;Joseph Drouhin, Corton Charlemagne Grand Cru;Joseph Drouhin;France;Bourgogne;Chardonnay;White;;;0;2007;750
142600;Joseph Drouhin, Gevrey Chambertin;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12.5~13.5;15~17;0;2014;750
142601;Joseph Drouhin, Laforet Bourgogne Blanc;Joseph Drouhin;France;Bourgogne;Pinot Noir;White;12.5~13.5;10~12;0;2017;750
142602;Joseph Drouhin, Laforet Bourgogne Rouge;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12.5~13.5;16~18;0;2017;750
142603;Joseph Drouhin, Pommard;Joseph Drouhin;France;Bourgogne;Pinot Noir;Red;12.5~13.5;15~17;0;2016;750
142604;Joseph Drouhin, Pouilly Fuisse;Joseph Drouhin;France;Bourgogne;Chardonnay;White;12.5~13.5;10~12;0;2016;750
142605;Joseph Drouhin, Puligny Montrachet;Joseph Drouhin;France;Bourgogne;Chardonnay;White;12~13;10~12;0;2016;750
142606;King's, Court Vidal Icewine;Kings Court;Canada;;Vidal;White;9.5~10.5;6~8;0;2006;375
142610;Lan Crianza;Bodegas Lan;Spain;Rioja;Tempranillo;Red;12.5~13.5;16~18;0;2013;750
142611;Lan, Gran Reserva;Bodegas Lan;Spain;Rioja;Tempranillo;Red;12.5~13.5;16~18;0;2010;750
142615;Lan Reserva;Bodegas Lan;Spain;Rioja;Tempranillo;Red;13;16~18;0;2011;750
142627;Majuang Medoc;Sichel;France;Cabernet Sauvignon;;Red;12~13;16~18;0;2012;750
142649;Santa Rita Casa Real;Santa Rita;Chile;Maipo Valley;Cabernet Sauvignon;Red;14~15;16~18;0;2013;750
142651;Santa Rita Gran Hacienda Cabernet Sauvignon;Santa Rita;Chile;Central Valley;Cabernet Sauvignon;Red;12;16~18;0;2013;750
142652;Santa Rita Gran Hacienda Carmenere;Santa Rita;Chile;Maipo Valley;Carmenere;Red;12;16~18;0;2013;750
142653;Santa Rita Gran Hacienda Chardonnay;Santa Rita;Chile;Central Valley;Chardonnay;White;12;10~12;0;2013;750
142654;Santa Rita Gran Hacienda Merlot;Santa Rita;Chile;Rapel Valley;Merlot;Red;12;16~18;0;2013;750
142655;Santa Rita, Gran Hacienda Sauvignon Blanc;Santa Rita;Chile;Maipo Valley;Sauvignon blanc;White;12;10~12;0;2013;750
142656;Santa Rita, Medalla Real Cabernet Sauvignon;Santa Rita;Chile;Maipo Valley;Cabernet Sauvignon;Red;13.5~14.5;16~18;0;2016;750
142657;Santa Rita Medalla Real Chardonnay;Santa Rita;Chile;Maipo Valley;Chardonnay;White;14~15;8~10;0;2017;750
142661;Santa Rita, 120 Chardonnay;Santa Rita;Chile;Maipo Valley;Chardonnay;White;13~14;10~12;0;2018;750
142663;Santa Rita, 120 Merlot;Santa Rita;Chile;Maipo Valley;Merlot;Red;13~14;16~18;0;2018;750
142664;Santa Rita, Reserva Cabernet Sauvignon;Santa Rita;Chile;Maipo Valley;Cabernet Sauvignon;Red;13.5~14.5;16~18;0;2016;750
142665;Santa Rita, Reserva Carmenere;Santa Rita;Chile;Rapel Valley;Carmenere;Red;14~15;16~18;0;2011;750
142666;Santa Rita, Reserva Chardonnay;Santa Rita;Chile;Aconcagua;Chardonnay;White;14~15;10~12;0;2018;750
142667;Santa Rita, Reserva Merlot;Santa Rita;Chile;Maipo Valley;Merlot;Red;14~15;16~18;0;2016;750
142668;Santa Rita, Triple C;Santa Rita;Chile;Maipo Valley;Cabernet Franc;Red;14~15;16~18;0;2014;750
142677;Chateau d'Angludet Margaux;Sichel;France;Bordeaux;Blend;Red;;;0;2013;750
142709;Carmen, Insigne Cabernet Sauvignon;Vina Carmen;Chile;Maipo Valley;Cabernet Sauvignon;Red;13~14;16~18;0;2017;750
142712;Carmen, Insigne Carmenere;Vina Carmen;Chile;Maipo Valley;Carmenere;Red;13~14;12~14;0;2017;750
142713;Carmen, Insigne Chardonnay;Vina Carmen;Chile;Central Valley;Chardonnay;White;13.5~14.5;10~12;0;2017;750
142715;Carmen, Gold Reserve Cabernet Sauvignon;Vina Carmen;Chile;Maipo Valley;Cabernet Sauvignon;Red;14~15;16~18;0;2014;750
142717;Carmen, Insigne Merlot;Vina Carmen;Chile;Central Valley;Merlot;Red;13.5~14.5;16~18;0;2017;750
142718;Carmen, Reserva Merlot ;Vina Carmen;Chile;Rapel Valley;Merlot;Red;14.1;16~18;0;2014;750
142721;Carmen, Reserva Pinot Noir ;Vina Carmen;Chile;Aconcagua;Pinot Noir;Red;13;16~18;0;2013;750
